ts,eventId,Transform
2024-12-06T15:58:52.5293518Z,2,"{""position"":{""x"":-0.08896029,""y"":1.14582264,""z"":0.237549946},""rotation"":{""x"":0.0174517874,""y"":-0.024149932,""z"":-0.06015834,""w"":-0.9977441},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5303502Z,3,"{""position"":{""x"":0.148701936,""y"":1.15621316,""z"":0.201079369},""rotation"":{""x"":0.0837363,""y"":-0.06025031,""z"":-0.0004227042,""w"":-0.9946647},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5540330Z,1,"{""position"":{""x"":0.0301554,""y"":1.52401531,""z"":0.006893806},""rotation"":{""x"":0.24115245,""y"":0.116155528,""z"":-0.05385723,""w"":0.9620046},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5540330Z,2,"{""position"":{""x"":-0.08567935,""y"":1.14573145,""z"":0.238068953},""rotation"":{""x"":0.0174728,""y"":-0.029431263,""z"":-0.0609977059,""w"":-0.9975509},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5550376Z,3,"{""position"":{""x"":0.155017078,""y"":1.15791082,""z"":0.198011354},""rotation"":{""x"":0.088476494,""y"":-0.07267067,""z"":-0.008012524,""w"":-0.9933915},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5828268Z,1,"{""position"":{""x"":0.032411512,""y"":1.52392042,""z"":0.00595248025},""rotation"":{""x"":0.240170166,""y"":0.12748763,""z"":-0.05621023,""w"":0.96067977},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5828268Z,2,"{""position"":{""x"":-0.08241256,""y"":1.14619172,""z"":0.239036456},""rotation"":{""x"":0.0192438569,""y"":-0.03025759,""z"":-0.059745755,""w"":-0.9975694},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5833321Z,3,"{""position"":{""x"":0.1632718,""y"":1.15970409,""z"":0.194247812},""rotation"":{""x"":0.0947776362,""y"":-0.08906925,""z"":-0.007551497,""w"":-0.991477132},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6099166Z,1,"{""position"":{""x"":0.03542867,""y"":1.52354228,""z"":0.00415426027},""rotation"":{""x"":0.242407575,""y"":0.140356943,""z"":-0.057363268,""w"":0.958252549},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6104167Z,2,"{""position"":{""x"":-0.07773712,""y"":1.14599061,""z"":0.240380585},""rotation"":{""x"":0.0166665372,""y"":-0.036132656,""z"":-0.06984256,""w"":-0.9967641},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6104167Z,3,"{""position"":{""x"":0.172914088,""y"":1.1600107,""z"":0.1902115},""rotation"":{""x"":0.09461751,""y"":-0.103670947,""z"":6.20994761E-05,""w"":-0.9901009},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6376789Z,1,"{""position"":{""x"":0.0391460024,""y"":1.522826,""z"":0.002019924},""rotation"":{""x"":0.24556458,""y"":0.1581971,""z"":-0.0602196157,""w"":0.954486966},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6376789Z,2,"{""position"":{""x"":-0.07113201,""y"":1.1458925,""z"":0.241365463},""rotation"":{""x"":0.0132828839,""y"":-0.0490316451,""z"":-0.0768938661,""w"":-0.995744348},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6391778Z,3,"{""position"":{""x"":0.182984516,""y"":1.16036475,""z"":0.185595959},""rotation"":{""x"":0.09396823,""y"":-0.120636329,""z"":0.00288662431,""w"":-0.988235056},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6672571Z,1,"{""position"":{""x"":0.043357145,""y"":1.52258039,""z"":-0.000116982963},""rotation"":{""x"":0.246446654,""y"":0.182248712,""z"":-0.06280829,""w"":0.9497919},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6677562Z,2,"{""position"":{""x"":-0.0642911345,""y"":1.14708078,""z"":0.241920635},""rotation"":{""x"":0.0176166836,""y"":-0.06258831,""z"":-0.08517818,""w"":-0.994242},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6677562Z,3,"{""position"":{""x"":0.194219962,""y"":1.16129136,""z"":0.1794875},""rotation"":{""x"":0.0975758,""y"":-0.139758527,""z"":0.00681218365,""w"":-0.9853427},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6938995Z,1,"{""position"":{""x"":0.047977142,""y"":1.5229398,""z"":-0.002116885},""rotation"":{""x"":0.245701686,""y"":0.208715051,""z"":-0.0645302,""w"":0.944407046},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6943991Z,2,"{""position"":{""x"":-0.0575842857,""y"":1.14755,""z"":0.243580177},""rotation"":{""x"":0.0183672961,""y"":-0.0697791055,""z"":-0.08349202,""w"":-0.99389267},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.6943991Z,3,"{""position"":{""x"":0.205338553,""y"":1.16114557,""z"":0.173108041},""rotation"":{""x"":0.09714319,""y"":-0.156623259,""z"":0.009573693,""w"":-0.982822835},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7225127Z,1,"{""position"":{""x"":0.05333098,""y"":1.52324975,""z"":-0.005249786},""rotation"":{""x"":0.242244422,""y"":0.23851423,""z"":-0.06342064,""w"":0.9382998},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7225127Z,2,"{""position"":{""x"":-0.05014333,""y"":1.14809179,""z"":0.24533388},""rotation"":{""x"":0.0168396551,""y"":-0.07703506,""z"":-0.0810337663,""w"":-0.9935872},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7225127Z,3,"{""position"":{""x"":0.215780422,""y"":1.16029859,""z"":0.166285992},""rotation"":{""x"":0.09395148,""y"":-0.172392234,""z"":0.006216246,""w"":-0.9805179},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7476596Z,1,"{""position"":{""x"":0.05904599,""y"":1.52365482,""z"":-0.00843108352},""rotation"":{""x"":0.239530966,""y"":0.27247417,""z"":-0.0626871958,""w"":0.9297597},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7476596Z,2,"{""position"":{""x"":-0.04088286,""y"":1.14964116,""z"":0.246206313},""rotation"":{""x"":0.0180007387,""y"":-0.09520233,""z"":-0.08257761,""w"":-0.991863668},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7476596Z,3,"{""position"":{""x"":0.226101309,""y"":1.16000366,""z"":0.158511654},""rotation"":{""x"":0.0927535743,""y"":-0.188041985,""z"":0.00299938582,""w"":-0.9777669},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7752699Z,1,"{""position"":{""x"":0.06486195,""y"":1.52404547,""z"":-0.0116609121},""rotation"":{""x"":0.2363277,""y"":0.307654619,""z"":-0.0609610938,""w"":0.9196639},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7757751Z,2,"{""position"":{""x"":-0.03324275,""y"":1.15496182,""z"":0.247282922},""rotation"":{""x"":0.0366881453,""y"":-0.117470257,""z"":-0.06218801,""w"":-0.990448058},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.7757751Z,3,"{""position"":{""x"":0.237646177,""y"":1.1615572,""z"":0.149136171},""rotation"":{""x"":0.09874971,""y"":-0.206869274,""z"":-0.00262506935,""w"":-0.973368764},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
